SC_ID,GasNode,ElecNode,ts,te,PcMin,PcMax,RcD,RcU,lambdaC,AlphaC,time,MIPGap,GasProfit,mSEDACost
sc1,ng101,ne101,1,4,0,10,-999,-999,2.016392701093548,-999,96.93358039855957,0.0,3.624549427221382,1104.4685715071932
sc1,ng102,ne101,1,4,0,10,-999,-999,2.016392701093548,-999,96.93358039855957,0.0,3.624549427221382,1104.4685715071932
sc2,ng101,ne101,1,4,0,10,-999,-999,,-999,,1e+100,,
sc2,ng102,ne101,1,4,0,20,-999,-999,,-999,,1e+100,,
sc3,ng101,ne101,1,4,0,10,-999,-999,2.0091895211873103,-999,0.3138389587402344,0.0,3.6245494272211545,1104.4685715071932
sc3,ng102,ne101,1,4,0,25,-999,-999,2.00918952118731,-999,0.3138389587402344,0.0,3.6245494272211545,1104.4685715071932
sc4,ng101,ne101,1,4,0,10,-999,-999,1.9999999999999998,-999,2.5598011016845703,0.0,1.1087355183417458,1104.4685715071932
sc4,ng102,ne101,1,4,10,10,-999,-999,2.00346479849473,-999,2.5598011016845703,0.0,1.1087355183417458,1104.4685715071932
sc5,ng101,ne101,1,4,0,10,-999,-999,,-999,,1e+100,,
sc5,ng102,ne101,1,4,10,20,-999,-999,,-999,,1e+100,,
sc6,ng101,ne101,1,4,0,10,-999,-999,0.7150000000000001,-999,5.67207145690918,0.0,1.1087355183417458,1104.4685715071932
sc6,ng102,ne101,1,4,10,25,-999,-999,2.3095215105628544,-999,5.67207145690918,0.0,1.1087355183417458,1104.4685715071932
sc7,ng101,ne101,1,4,0,20,-999,-999,2.0119664300256144,-999,31.762399673461914,0.0,3.6245494271936423,1104.4685715071953
sc7,ng102,ne101,1,4,0,10,-999,-999,2.0119664300256144,-999,31.762399673461914,0.0,3.6245494271936423,1104.4685715071953
sc8,ng101,ne101,1,4,0,20,-999,-999,2.0091895211873108,-999,0.2727241516113281,0.0,3.6245494272211545,1104.4685715071932
sc8,ng102,ne101,1,4,0,20,-999,-999,2.0091895211873108,-999,0.2727241516113281,0.0,3.6245494272211545,1104.4685715071932
sc9,ng101,ne101,1,4,0,20,-999,-999,2.00918952118731,-999,0.07018470764160156,0.0,3.624549427221609,1104.4685715071932
sc9,ng102,ne101,1,4,0,25,-999,-999,2.00918952118731,-999,0.07018470764160156,0.0,3.624549427221609,1104.4685715071932
sc10,ng101,ne101,1,4,0,20,-999,-999,2.0,-999,0.5494613647460938,0.0,1.1087355183417458,1104.4685715071932
sc10,ng102,ne101,1,4,10,10,-999,-999,2.003464798494729,-999,0.5494613647460938,0.0,1.1087355183417458,1104.4685715071932
