TimeID,s1,s2
t1,0.716067164,0.721145
t2,0.690974105,0.731536498
t3,0.660333962,0.640914138
t4,0.67088065,0.547162087
t5,0.72154908,0.249897508
t6,0.802978327,0.105200474
t7,0.840575947,0.140542903
t8,0.957935709,0.491758824
t9,0.957538679,0.528372841
t10,0.961790361,0.166469936
t11,0.938133328,0.175707907
t12,0.995518968,0.16320296
t13,0.990822148,0.162011081
t14,0.838514106,0.176083148
t15,0.794980752,0.235668329
t16,0.662583778,0.166254197
t17,0.625604615,0.07614825
t18,0.505611965,0.051622486
t19,0.486351754,0.01116288
t20,0.413532704,0.002700373
t21,0.447128515,0.087883601
t22,0.504956331,0.027929853
t23,0.556365001,0.186134524
t24,0.515541782,0.208151459
