TimeID,s1,s2
t1,0.756699442,0.378349721
t2,0.750050656,0.375025328
t3,0.768569806,0.384284903
t4,0.739148366,0.369574183
t5,0.699815792,0.349907896
t6,0.601128495,0.300564248
t7,0.383517962,0.191758981
t8,0.252180272,0.126090136
t9,0.206159223,0.103079612
t10,0.20342415,0.101712075
t11,0.222168035,0.111084018
t12,0.265557831,0.132778916
t13,0.289223057,0.144611529
t14,0.310664924,0.155332462
t15,0.329857062,0.164928531
t16,0.323242244,0.161621122
t17,0.281279025,0.140639513
t18,0.198774664,0.099387332
t19,0.176982446,0.088491223
t20,0.16862612,0.08431306
t21,0.157697035,0.078848518
t22,0.144819675,0.072409838
t23,0.144091067,0.072045534
t24,0.116613664,0.058306832
