SC_ID,GasNode,ElecNode,ts,te,PcMin,PcMax,RcD,RcU,lambdaC,AlphaC,time,MIPGap,Obj
sc0,ng102,ne101,1,4,0,0,-999,-999,0,-999,,,
sc1,ng102,ne101,1,4,0,10,-999,-999,0,-999,,,
sc2,ng102,ne101,1,4,0,20,-999,-999,0,-999,,,
sc3,ng102,ne101,1,4,0,30,-999,-999,0,-999,,,
sc4,ng102,ne101,1,4,0,40,-999,-999,0,-999,,,
sc5,ng102,ne101,1,4,10,10,-999,-999,0,-999,,,
sc6,ng102,ne101,1,4,10,20,-999,-999,0,-999,,,
sc7,ng102,ne101,1,4,10,30,-999,-999,0,-999,,,
sc8,ng102,ne101,1,4,10,40,-999,-999,0,-999,,,
sc9,ng102,ne101,1,4,20,20,-999,-999,0,-999,,,
sc10,ng102,ne101,1,4,20,30,-999,-999,0,-999,,,
sc11,ng102,ne101,1,4,20,40,-999,-999,0,-999,,,
sc12,ng102,ne101,1,4,30,30,-999,-999,0,-999,,,
sc13,ng102,ne101,1,4,30,40,-999,-999,0,-999,,,
sc14,ng102,ne101,1,4,40,40,-999,-999,0,-999,,,
