SC_ID,GasNode,ElecNode,ts,te,PcMin,PcMax,RcD,RcU,lambdaC,AlphaC
sc1,ng101,ne101,1,24,0,10,-999,-999,2.616069140724082,-999
sc2,ng101,ne101,1,24,0,20,-999,-999,3.150000000001649,-999
sc3,ng101,ne101,1,24,0,30,-999,-999,3.0686588669513464,-999
sc4,ng101,ne101,1,24,0,40,-999,-999,3.1500000000000004,-999
sc5,ng101,ne101,1,24,10,10,-999,-999,2.555000000003416,-999
sc6,ng101,ne101,1,24,10,20,-999,-999,2.7372507006797746,-999
sc7,ng101,ne101,1,24,10,30,-999,-999,2.94,-999
sc8,ng101,ne101,1,24,10,40,-999,-999,2.9467024007605023,-999
sc9,ng101,ne101,1,24,20,20,-999,-999,2.555000000001709,-999
sc10,ng101,ne101,1,24,20,30,-999,-999,2.6347638281453656,-999
