SC_ID,GasNode,ElecNode,ts,te,PcMin,PcMax,RcD,RcU,lambdaC,AlphaC,time,MIPGap,Obj
sc1,ng102,ne101,1,8,0,10,-999,-999,0,-999,,,
sc2,ng102,ne101,1,8,0,20,-999,-999,0,-999,,,
sc3,ng102,ne101,1,8,0,30,-999,-999,0,-999,,,
sc4,ng102,ne101,1,8,0,40,-999,-999,0,-999,,,
sc5,ng102,ne101,1,8,10,10,-999,-999,0,-999,,,
sc6,ng102,ne101,1,8,10,20,-999,-999,0,-999,,,
sc7,ng102,ne101,1,8,10,30,-999,-999,0,-999,,,
sc8,ng102,ne101,1,8,10,40,-999,-999,0,-999,,,
sc9,ng102,ne101,1,8,20,20,-999,-999,0,-999,,,
sc10,ng102,ne101,1,8,20,30,-999,-999,0,-999,,,
sc11,ng102,ne101,1,8,20,40,-999,-999,0,-999,,,
