SC_ID,GasNode,ElecNode,ts,te,PcMin,PcMax,RcD,RcU,lambdaC,AlphaC,time,MIPGap,Obj
sc1,ng102,ne101,1,8,0,10,-999,-999,4.12,-999,0.5675010681152344,0.0,1808.1600000000085
sc2,ng102,ne101,1,8,0,20,-999,-999,4.11999999999999,-999,0.7850818634033203,0.0,1808.1600000000085
sc3,ng102,ne101,1,8,0,30,-999,-999,4.120000000000026,-999,1.5977210998535156,0.0,1808.1600000000085
sc4,ng102,ne101,1,8,0,40,-999,-999,4.11999999999999,-999,1.5325546264648438,0.0,1808.1600000000085
sc5,ng102,ne101,1,8,10,10,-999,-999,3.589000000000074,-999,0.9314632415771484,0.0,1808.1600000000085
sc6,ng102,ne101,1,8,10,20,-999,-999,3.777419354838722,-999,4.298383712768555,0.0,1808.1600000000085
sc7,ng102,ne101,1,8,10,30,-999,-999,,-999,,,
sc8,ng102,ne101,1,8,10,40,-999,-999,,-999,,,
sc9,ng102,ne101,1,8,20,20,-999,-999,3.5890000000000364,-999,0.8121528625488281,0.0,1808.1600000000085
sc10,ng102,ne101,1,8,20,30,-999,-999,3.703529411764716,-999,0.47225379943847656,0.0,1808.1600000000085
sc11,ng102,ne101,1,8,20,40,-999,-999,,-999,,,
