SC_ID,GasNode,ElecNode,ts,te,PcMin,PcMax,RcD,RcU,lambdaC,AlphaC,time,MIPGap,GasProfit,mSEDACost
sc1,ng101,ne101,1,1,10,10,-999,-999,2.029,-999,0.03208732604980469,0.0,48.351999999999975,588.352
sc6,ng101,ne101,1,1,10,20,-999,-999,2.122666666666666,-999,0.04010963439941406,0.0,48.35200000000066,588.352
sc7,ng101,ne101,1,1,10,30,-999,-999,2.1865263157894734,-999,0.028078079223632812,0.0,48.35200000000009,588.352
sc8,ng101,ne101,1,1,10,40,-999,-999,2.2059259259259245,-999,0.0360870361328125,0.0,48.35200000000009,588.352
sc9,ng101,ne101,1,1,20,20,-999,-999,2.029,-999,0.028072357177734375,0.0,48.351999999999975,588.352
sc10,ng101,ne101,1,1,20,30,-999,-999,2.1014399999999998,-999,0.031084060668945312,0.0,48.351999999999975,588.352
sc11,ng101,ne101,1,1,20,40,-999,-999,2.1222068965517247,-999,0.09924697875976562,0.0,48.3520000000002,588.3520000000001
sc12,ng101,ne101,1,1,30,30,-999,-999,1.9124666666666634,-999,0.038097381591796875,0.0,17.152000000000044,588.352
sc13,ng101,ne101,1,1,30,40,-999,-999,1.9692571428571428,-999,0.03208351135253906,0.0,17.152000000000044,588.352
sc14,ng101,ne101,1,1,40,40,-999,-999,1.7230999999999996,-999,0.0330810546875,0.0,-62.847999999999956,588.352
sc15,ng101,ne101,1,1,0,0,-999,-999,0.0,-999,0.11530494689941406,0.0,48.351999999999975,588.352
sc16,ng101,ne101,1,1,0,150,-999,-999,2.1012571428571425,-999,0.03209114074707031,0.0,48.35200000000009,588.352
