ID,name,country,origin,latitude,longitude,status,primaryfuel,capacity,lincost,upreg,downreg,upregcost,downregcost,UpCapCost,DnCapCost
g1,g1,Z1,n101,-,-,Online,OCGT,20,29.30433333,6,6,33.69998333,26.3739,2.930433333,1.465216667
g2,g2,Z1,n101,-,-,Online,OCGT,20,29.29433333,6,6,33.68848333,26.3649,2.929433333,1.464716667
g3,g3,Z1,n101,-,-,Online,CCGT,76,19.251,22.8,22.8,22.13865,17.3259,1.9251,0.96255
g4,g4,Z1,n101,-,-,Online,CCGT,76,19.261,22.8,22.8,22.15015,17.3349,1.9261,0.96305
g5,g5,Z1,n102,-,-,Online,OCGT,20,29.28433333,6,6,33.67698333,26.3559,2.928433333,1.464216667
g6,g6,Z1,n102,-,-,Online,OCGT,20,29.27433333,6,6,33.66548333,26.3469,2.927433333,1.463716667
g7,g7,Z1,n102,-,-,Online,CCGT,76,19.241,22.8,22.8,22.12715,17.3169,1.9241,0.96205
g8,g8,Z1,n102,-,-,Online,CCGT,76,19.231,22.8,22.8,22.11565,17.3079,1.9231,0.96155
g9,g9,Z1,n107,-,-,Online,CCGT,100,18.27886667,30,30,21.02069667,16.45098,1.827886667,0.913943333
g10,g10,Z1,n107,-,-,Online,CCGT,100,18.28886667,30,30,21.03219667,16.45998,1.828886667,0.914443333
g11,g11,Z1,n108,-,-,Online,CCGT,100,18.26886667,30,30,21.00919667,16.44198,1.826886667,0.913443333
g12,g12,Z1,n113,-,-,Online,CCGT,197,17.70846667,59.1,59.1,20.36473667,15.93762,1.770846667,0.885423333
g13,g13,Z1,n113,-,-,Online,CCGT,197,17.71846667,59.1,59.1,20.37623667,15.94662,1.771846667,0.885923333
g14,g14,Z1,n113,-,-,Online,CCGT,197,17.72846667,59.1,59.1,20.38773667,15.95562,1.772846667,0.886423333
g15,g15,Z1,n115,-,-,Online,OCGT,12,30.143,3.6,3.6,34.66445,27.1287,3.0143,1.50715
g16,g16,Z1,n115,-,-,Online,OCGT,12,30.153,3.6,3.6,34.67595,27.1377,3.0153,1.50765
g17,g17,Z1,n115,-,-,Online,OCGT,12,30.163,3.6,3.6,34.68745,27.1467,3.0163,1.50815
g18,g18,Z1,n115,-,-,Online,OCGT,12,30.173,3.6,3.6,34.69895,27.1557,3.0173,1.50865
g19,g19,Z1,n115,-,-,Online,OCGT,12,30.155,3.6,3.6,34.67825,27.1395,3.0155,1.50775
g20,g20,Z1,n115,-,-,Online,IGCC,155,24.5249,0,0,28.203635,22.07241,2.45249,1.226245
g21,g21,Z1,n116,-,-,Online,IGCC,155,24.5349,0,0,28.215135,22.08141,2.45349,1.226745
