fromNode,toNode,Y,limit,type
n101,n102,7142.857143,175,AC
n101,n103,473.9336493,175,AC
n101,n105,1176.470588,175,AC
n102,n104,787.4015748,175,AC
n102,n106,520.8333333,175,AC
n103,n109,840.3361345,175,AC
n103,n124,1190.47619,400,AC
n104,n109,961.5384615,175,AC
n105,n110,1136.363636,175,AC
n106,n110,1639.344262,175,AC
n107,n108,1639.344262,175,AC
n108,n109,606.0606061,175,AC
n108,n110,606.0606061,175,AC
n109,n111,1190.47619,400,AC
n109,n112,1190.47619,400,AC
n110,n111,1190.47619,400,AC
n110,n112,1190.47619,400,AC
n111,n113,2083.333333,500,AC
n111,n114,2380.952381,500,AC
n112,n113,2083.333333,500,AC
n112,n123,1030.927835,500,AC
n113,n123,1149.425287,500,AC
n114,n116,1694.915254,500,AC
n115,n116,5882.352941,500,AC
n115,n121,2040.816327,1000,AC
n115,n124,1923.076923,500,AC
n116,n117,3846.153846,500,AC
n116,n119,4347.826087,500,AC
n117,n118,7142.857143,500,AC
n117,n122,952.3809524,500,AC
n118,n121,3846.153846,1000,AC
n119,n120,2500,1000,AC
n120,n123,4545.454545,1000,AC
n121,n122,1470.588235,500,AC
n201,n202,7142.857143,175,AC
n201,n203,473.9336493,175,AC
n201,n205,1176.470588,175,AC
n202,n204,787.4015748,175,AC
n202,n206,520.8333333,175,AC
n203,n209,840.3361345,175,AC
n203,n224,1190.47619,400,AC
n204,n209,961.5384615,175,AC
n205,n210,1136.363636,175,AC
n206,n210,1639.344262,175,AC
n207,n208,1639.344262,175,AC
n208,n209,606.0606061,175,AC
n208,n210,606.0606061,175,AC
n209,n211,1190.47619,400,AC
n209,n212,1190.47619,400,AC
n210,n211,1190.47619,400,AC
n210,n212,1190.47619,400,AC
n211,n213,2083.333333,500,AC
n211,n214,2380.952381,500,AC
n212,n213,2083.333333,500,AC
n212,n223,1030.927835,500,AC
n213,n223,1149.425287,500,AC
n214,n216,1694.915254,500,AC
n215,n216,5882.352941,500,AC
n215,n221,2040.816327,1000,AC
n215,n224,1923.076923,500,AC
n216,n217,3846.153846,500,AC
n216,n219,4347.826087,500,AC
n217,n218,7142.857143,500,AC
n217,n222,952.3809524,500,AC
n218,n221,3846.153846,1000,AC
n219,n220,2500,1000,AC
n220,n223,4545.454545,1000,AC
n221,n222,1470.588235,500,AC
n301,n302,7142.857143,175,AC
n301,n303,473.9336493,175,AC
n301,n305,1176.470588,175,AC
n302,n304,787.4015748,175,AC
n302,n306,520.8333333,175,AC
n303,n309,840.3361345,175,AC
n303,n324,1190.47619,400,AC
n304,n309,961.5384615,175,AC
n305,n310,1136.363636,175,AC
n306,n310,1639.344262,175,AC
n307,n308,1639.344262,175,AC
n308,n309,606.0606061,175,AC
n308,n310,606.0606061,175,AC
n309,n311,1190.47619,400,AC
n309,n312,1190.47619,400,AC
n310,n311,1190.47619,400,AC
n310,n312,1190.47619,400,AC
n311,n313,2083.333333,500,AC
n311,n314,2380.952381,500,AC
n312,n313,2083.333333,500,AC
n312,n323,1030.927835,500,AC
n313,n323,1149.425287,500,AC
n314,n316,1694.915254,500,AC
n315,n316,5882.352941,500,AC
n315,n321,2040.816327,1000,AC
n315,n324,1923.076923,500,AC
n316,n317,3846.153846,500,AC
n316,n319,4347.826087,500,AC
n317,n318,7142.857143,500,AC
n317,n322,952.3809524,500,AC
n318,n321,3846.153846,1000,AC
n319,n320,2500,1000,AC
n320,n323,4545.454545,1000,AC
n321,n322,1470.588235,500,AC
n107,n203,621.1180124,175,AC
n113,n215,1333.333333,500,AC
n123,n217,1351.351351,500,AC
n223,n318,961.5384615,500,AC
n121,n325,1030.927835,500,AC
n323,n325,11111.11111,722,AC
